gene,miRNA,interaction
ABL2,hsa-miR-26a-1-3p,0
BCL2,hsa-miR-26a-1-3p,0
CASP3,hsa-miR-26a-1-3p,0
CCNE2,hsa-miR-26a-1-3p,0
CDC25A,hsa-miR-26a-1-3p,0
TP53,hsa-miR-26a-1-3p,0
XIAP,hsa-miR-26a-1-3p,0
APAF1,hsa-miR-26a-1-3p,0
HDAC8,hsa-miR-26a-1-3p,0
SRP68,hsa-miR-26a-1-3p,0
ZNF783,hsa-miR-26a-1-3p,0
SDAD1,hsa-miR-26a-1-3p,0
C22ORF36,hsa-miR-26a-1-3p,0
TTF2,hsa-miR-26a-1-3p,0
ADAMTS14,hsa-miR-26a-1-3p,0
CALM1,hsa-miR-26a-1-3p,0
CMBL,hsa-miR-26a-1-3p,0
C7ORF52,hsa-miR-26a-1-3p,0
GORAB,hsa-miR-26a-1-3p,0
ALPK1,hsa-miR-26a-1-3p,0
DEFB129,hsa-miR-26a-1-3p,1
ANGPTL5,hsa-miR-26a-1-3p,1
ACTN1,hsa-miR-218-5p,0
CDKN1B,hsa-miR-218-5p,0
EBP,hsa-miR-218-5p,0
EFNA1,hsa-miR-218-5p,0
MBNL2,hsa-miR-218-5p,0
MRPS27,hsa-miR-218-5p,0
PTK2,hsa-miR-218-5p,0
STAM2,hsa-miR-218-5p,0
NUP93,hsa-miR-218-5p,0
BIRC6,hsa-miR-218-5p,0
GLI2,hsa-miR-218-5p,1
KIT,hsa-miR-218-5p,1
WASF3,hsa-miR-218-5p,1
RICTOR,hsa-miR-218-5p,1
RRP15,hsa-miR-218-5p,0
KANK3,hsa-miR-218-5p,0
MLF1,hsa-miR-218-5p,1
SH3GL1,hsa-miR-218-5p,1
ACTN1,hsa-miR-433-5p,0
MTA2,hsa-miR-433-5p,0
EGFL7,hsa-miR-433-5p,0
RPL30,hsa-miR-433-5p,1
AQP2,hsa-miR-433-5p,1
ACTN1,hsa-miR-891a-5p,0
ZNF763,hsa-miR-891a-5p,0
ZNF259,hsa-miR-891a-5p,0
LUC7L2,hsa-miR-891a-5p,1
ACTN1,hsa-miR-1322,0
TTC13,hsa-miR-1322,0
HDAC8,hsa-miR-1322,0
APC2,hsa-miR-1322,0
ID1,hsa-miR-1322,0
TRHR,hsa-miR-1322,0
ACTN1,hsa-miR-8089,0
DICER1,hsa-miR-8089,0
ASH1L,hsa-miR-8089,0
CYB561D1,hsa-miR-8089,1
ACTN1,hsa-miR-5571-3p,0
TAF10,hsa-miR-5571-3p,0
SRRM1,hsa-miR-5571-3p,0
ACTN1,hsa-miR-12131,0
YTHDF2,hsa-miR-12131,0
ACTN1,hsa-miR-1204,0
CNR1,hsa-miR-1204,0
POU2F2,hsa-miR-1204,0
ZNF706,hsa-miR-1204,1
GCAT,hsa-miR-1204,0
GCNT1,hsa-miR-1204,1
ACTN1,hsa-miR-3651,0
POU2F2,hsa-miR-3651,0
EPHB2,hsa-miR-3651,0
CNN3,hsa-miR-3651,1
STX6,hsa-miR-3651,1
C14ORF182,hsa-miR-3651,1
ACTN1,hsa-miR-374b-3p,0
APPL2,hsa-miR-374b-3p,0
ACTN1,hsa-miR-4722-3p,0
MAPK8,hsa-miR-4722-3p,0
CA14,hsa-miR-4722-3p,1
ACTN1,hsa-miR-1262,0
SDAD1,hsa-miR-1262,0
DUSP11,hsa-miR-1262,0
ACTN1,hsa-miR-4714-3p,0
XPA,hsa-miR-4714-3p,0
RUNX2,hsa-miR-4714-3p,1
GADL1,hsa-miR-4714-3p,0
NUCB2,hsa-miR-4714-3p,1
ACTN1,hsa-miR-1270,0
FXN,hsa-miR-1270,1
PRIC285,hsa-miR-1270,1
ACTR2,hsa-miR-155-5p,0
ARPC3,hsa-miR-155-5p,0
CAB39,hsa-miR-155-5p,0
CASP3,hsa-miR-155-5p,1
CCDC82,hsa-miR-155-5p,0
CHD9,hsa-miR-155-5p,0
E2F2,hsa-miR-155-5p,0
FLI1,hsa-miR-155-5p,0
GABARAPL1,hsa-miR-155-5p,0
HAL,hsa-miR-155-5p,0
HERC4,hsa-miR-155-5p,0
ICAM1,hsa-miR-155-5p,0
KRCC1,hsa-miR-155-5p,0
MYO1D,hsa-miR-155-5p,0
NFATC2IP,hsa-miR-155-5p,0
PLS1,hsa-miR-155-5p,0
RAC1,hsa-miR-155-5p,0
RBAK,hsa-miR-155-5p,0
SELE,hsa-miR-155-5p,0
SLC33A1,hsa-miR-155-5p,0
SMAD4,hsa-miR-155-5p,0
SSX2IP,hsa-miR-155-5p,0
TBC1D8B,hsa-miR-155-5p,0
TCF12,hsa-miR-155-5p,0
TOMM20,hsa-miR-155-5p,0
TTF1,hsa-miR-155-5p,0
UBTD2,hsa-miR-155-5p,0
YWHAZ,hsa-miR-155-5p,0
ZNF248,hsa-miR-155-5p,0
ZNF493,hsa-miR-155-5p,0
ZNF561,hsa-miR-155-5p,0
APAF1,hsa-miR-155-5p,1
NOVA1,hsa-miR-155-5p,0
TOM1,hsa-miR-155-5p,0
CDC40,hsa-miR-155-5p,0
ZNF83,hsa-miR-155-5p,0
ARL6IP5,hsa-miR-155-5p,0
CBR4,hsa-miR-155-5p,0
GOLT1B,hsa-miR-155-5p,0
KRAS,hsa-miR-155-5p,0
MSI2,hsa-miR-155-5p,0
PBRM1,hsa-miR-155-5p,0
POLE3,hsa-miR-155-5p,0
RHEB,hsa-miR-155-5p,0
TBCA,hsa-miR-155-5p,0
APC,hsa-miR-155-5p,1
CCNA2,hsa-miR-155-5p,0
CSF1R,hsa-miR-155-5p,1
FBXW7,hsa-miR-155-5p,1
GATM,hsa-miR-155-5p,1
HIF1A,hsa-miR-155-5p,1
IL17RB,hsa-miR-155-5p,1
INPP5F,hsa-miR-155-5p,1
KLHL5,hsa-miR-155-5p,1
LEF1,hsa-miR-155-5p,0
MAP3K10,hsa-miR-155-5p,1
MMP16,hsa-miR-155-5p,1
MSH2,hsa-miR-155-5p,1
MSH6,hsa-miR-155-5p,1
MYD88,hsa-miR-155-5p,1
NOS3,hsa-miR-155-5p,1
THRB,hsa-miR-155-5p,1
VPS18,hsa-miR-155-5p,1
PRKAR1A,hsa-miR-155-5p,1
C2ORF86,hsa-miR-155-5p,0
C10ORF97,hsa-miR-155-5p,0
EIF2A,hsa-miR-155-5p,0
PNKP,hsa-miR-155-5p,0
API5,hsa-miR-155-5p,0
SERPINB8,hsa-miR-155-5p,0
MPV17L,hsa-miR-155-5p,0
KIAA0999,hsa-miR-155-5p,0
C2ORF29,hsa-miR-155-5p,0
TP53TG3,hsa-miR-155-5p,0
SKAP2,hsa-miR-155-5p,0
ZNF696,hsa-miR-155-5p,0
C3ORF64,hsa-miR-155-5p,0
FILIP1,hsa-miR-155-5p,0
UBN1,hsa-miR-155-5p,0
ZNF554,hsa-miR-155-5p,0
WDR69,hsa-miR-155-5p,0
ANKDD1A,hsa-miR-155-5p,0
EDNRB,hsa-miR-155-5p,0
PKN2,hsa-miR-155-5p,1
TTC4,hsa-miR-155-5p,0
TPD52,hsa-miR-155-5p,0
LANCL3,hsa-miR-155-5p,0
PSMD12,hsa-miR-155-5p,0
DLX1,hsa-miR-155-5p,0
ARHGAP12,hsa-miR-155-5p,0
NTN4,hsa-miR-155-5p,0
RAPH1,hsa-miR-155-5p,0
CTSO,hsa-miR-155-5p,0
C21ORF45,hsa-miR-155-5p,0
PPIC,hsa-miR-155-5p,0
CDC42EP4,hsa-miR-155-5p,0
GALNT2,hsa-miR-155-5p,0
PGM5,hsa-miR-155-5p,0
RNF123,hsa-miR-155-5p,1
SLC16A4,hsa-miR-155-5p,0
HN1L,hsa-miR-155-5p,0
KIAA1967,hsa-miR-155-5p,0
ABCB7,hsa-miR-155-5p,0
ARF4,hsa-miR-155-5p,0
CAB39L,hsa-miR-155-5p,0
FAM76B,hsa-miR-155-5p,0
SEMA4G,hsa-miR-155-5p,0
HSPE1,hsa-miR-155-5p,0
EPB41L1,hsa-miR-155-5p,0
C18ORF26,hsa-miR-155-5p,0
PLD1,hsa-miR-155-5p,0
GPNMB,hsa-miR-155-5p,0
CHIC1,hsa-miR-155-5p,0
CFHR4,hsa-miR-155-5p,0
ARL15,hsa-miR-155-5p,1
ARMC2,hsa-miR-155-5p,1
BRPF3,hsa-miR-155-5p,1
CARD11,hsa-miR-155-5p,1
CKAP5,hsa-miR-155-5p,1
CLUAP1,hsa-miR-155-5p,1
HIVEP2,hsa-miR-155-5p,1
JARID2,hsa-miR-155-5p,1
LNX2,hsa-miR-155-5p,1
MATR3,hsa-miR-155-5p,1
MLH1,hsa-miR-155-5p,1
MYBL1,hsa-miR-155-5p,1
NR1H3,hsa-miR-155-5p,1
SOCS6,hsa-miR-155-5p,1
TBC1D14,hsa-miR-155-5p,1
TFAM,hsa-miR-155-5p,1
TLE4,hsa-miR-155-5p,1
TSPAN14,hsa-miR-155-5p,1
RGS12,hsa-miR-155-5p,1
ACVR1,hsa-let-7b-5p,0
CCNA1,hsa-let-7b-5p,0
CCND1,hsa-let-7b-5p,1
CPEB4,hsa-let-7b-5p,0
LRIG1,hsa-let-7b-5p,0
PRPS1,hsa-let-7b-5p,0
RPIA,hsa-let-7b-5p,0
TGFBR1,hsa-let-7b-5p,1
PDGFRA,hsa-let-7b-5p,0
CDK6,hsa-let-7b-5p,1
TLR4,hsa-let-7b-5p,1
VAV1,hsa-let-7b-5p,0
ZBTB7C,hsa-let-7b-5p,0
FZD3,hsa-let-7b-5p,0
NFKBIB,hsa-let-7b-5p,0
CIRH1A,hsa-let-7b-5p,0
PLSCR1,hsa-let-7b-5p,0
SLC19A3,hsa-let-7b-5p,0
TMEM202,hsa-let-7b-5p,0
ADAMTS16,hsa-let-7b-5p,0
SERPINB9,hsa-let-7b-5p,0
AKIRIN2,hsa-let-7b-5p,0
MS4A10,hsa-let-7b-5p,0
NLRP4,hsa-let-7b-5p,0
PSG1,hsa-let-7b-5p,0
SGK2,hsa-let-7b-5p,0
CPEB1,hsa-let-7b-5p,1
LIN28B,hsa-let-7b-5p,1
SCGBL,hsa-let-7b-5p,1
ACVR1,hsa-miR-126-3p,0
CCNE2,hsa-miR-126-3p,0
CXCL12,hsa-miR-126-3p,1
RGS3,hsa-miR-126-3p,0
SLC45A3,hsa-miR-126-3p,0
TWF1,hsa-miR-126-3p,0
TWF2,hsa-miR-126-3p,0
TOM1,hsa-miR-126-3p,0
NFKBIA,hsa-miR-126-3p,1
PITPNC1,hsa-miR-126-3p,1
PTPN7,hsa-miR-126-3p,1
RHOU,hsa-miR-126-3p,1
ZNF569,hsa-miR-126-3p,0
GABPB1,hsa-miR-126-3p,0
LMNB2,hsa-miR-126-3p,0
SH3YL1,hsa-miR-126-3p,0
ATP6V1E1,hsa-miR-126-3p,0
ADM,hsa-miR-126-3p,1
ACVR1,hsa-miR-4649-5p,1
SCLY,hsa-miR-4649-5p,1
ATP6AP1,hsa-miR-4649-5p,1
PCDHA11,hsa-miR-4649-5p,1
RNLS,hsa-miR-4649-5p,1
LSG1,hsa-miR-4649-5p,1
ACVR1C,hsa-miR-122-5p,0
BCL2L1,hsa-miR-122-5p,0
NFATC2IP,hsa-miR-122-5p,1
RAC1,hsa-miR-122-5p,1
FUT8,hsa-miR-122-5p,1
IL1A,hsa-miR-122-5p,1
NOD2,hsa-miR-122-5p,1
RAB11FIP1,hsa-miR-122-5p,1
UBAP2,hsa-miR-122-5p,1
GYS1,hsa-miR-122-5p,1
YTHDF2,hsa-miR-122-5p,0
C9ORF69,hsa-miR-122-5p,0
CRP,hsa-miR-122-5p,1
P4HA1,hsa-miR-122-5p,1
ADAM17,hsa-miR-122-5p,1
ANK2,hsa-miR-122-5p,1
CCNG1,hsa-miR-122-5p,1
GALNT10,hsa-miR-122-5p,1
XPO6,hsa-miR-122-5p,1
ACVR1C,hsa-miR-147a,0
SLC22A3,hsa-miR-147a,1
STOML2,hsa-miR-147a,0
NDUFA4,hsa-miR-147a,1
SLC7A2,hsa-miR-147a,1
ACVR1C,hsa-miR-376a-3p,0
IGF1R,hsa-miR-376a-3p,1
TSGA14,hsa-miR-376a-3p,1
ACVR1C,hsa-miR-376a-5p,0
PRPS1,hsa-miR-376a-5p,0
ZNF513,hsa-miR-376a-5p,0
SNX19,hsa-miR-376a-5p,0
SLC16A1,hsa-miR-376a-5p,1
CCDC90A,hsa-miR-376a-5p,0
OSGEP,hsa-miR-376a-5p,0
ACVR1C,hsa-miR-412-3p,0
HCRTR2,hsa-miR-412-3p,0
TMEM70,hsa-miR-412-3p,1
ACVR1C,hsa-miR-376b-3p,0
SLC41A1,hsa-miR-376b-3p,0
EMID2,hsa-miR-376b-3p,1
SP3,hsa-miR-376b-3p,1
ACVR1C,hsa-miR-22-3p,0
AKT1,hsa-miR-22-3p,1
SNAI1,hsa-miR-22-3p,1
CYR61,hsa-miR-22-3p,1
HMGB1,hsa-miR-22-3p,1
RGS2,hsa-miR-22-3p,1
UBR5,hsa-miR-22-3p,1
WNT1,hsa-miR-22-3p,1
PLK1,hsa-miR-22-3p,1
BMP6,hsa-miR-22-3p,1
NET1,hsa-miR-22-3p,1
BOLA2,hsa-miR-22-3p,1
TFRC,hsa-miR-22-3p,1
LGALS9,hsa-miR-22-3p,1
PTMS,hsa-miR-22-3p,1
ACVR1C,hsa-miR-4309,0
KLF4,hsa-miR-4309,1
PPARGC1B,hsa-miR-4309,1
ABHD12B,hsa-miR-4309,0
HEPH,hsa-miR-4309,1
UAP1,hsa-miR-4309,1
ACVR1C,hsa-miR-548ah-3p,0
